Age,Blue,White,Military,Schooling,Home
16,3.2800000000000002,0.29,0.06999999999999999,85.8,10.56
17,8.309999999999999,1.0999999999999999,1.47,74.61,14.499999999999998
18,24.52,6.81,5.19,41.56,21.93
19,30.28,8.58,7.9799999999999995,31.319999999999997,21.85
20,34.14,11.200000000000001,8.5,25.64,20.53
21,38.129999999999995,13.020000000000001,8.12,21.060000000000002,19.68
22,43.47,19.91,7.000000000000001,13.139999999999999,16.49
23,44.03,27.1,5.48,8.469999999999999,14.92
24,45.17,30.84,4.78,7.06,12.16
25,45.18,36.38,4.06,4.06,10.32
26,48.47,33.589999999999996,0.76,4.96,12.21
All,30.44,13.950000000000001,5.220000000000001,33.7,16.689999999999998
